"ICD-10-4","Geschlecht","Insgesamt","unter 1 Jahr","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95 und älter","unbekannt","year"
"F108","m","473","0","0","0","2","20","27","25","29","58","72","50","50","41","39","28","18","10","4","0","0","0","0","2006"
"F108","w","143","0","0","0","2","8","14","3","4","20","13","23","11","14","7","10","8","3","3","0","0","0","0","2006"
"F109","m","119","0","0","0","2","3","6","4","6","13","11","20","15","7","10","9","7","5","1","0","0","0","0","2006"
"F109","w","64","0","0","0","4","6","4","5","3","5","10","7","1","2","6","5","1","2","1","2","0","0","0","2006"
"T510","m","1047","0","3","0","92","356","89","47","43","54","78","93","64","50","28","26","12","8","4","0","0","0","0","2006"
"T510","w","544","0","5","1","81","204","51","20","12","20","35","31","27","22","9","10","8","4","3","0","0","1","0","2006"
"T519","m","4788","2","1","5","286","1203","450","280","244","371","497","401","314","239","164","164","92","50","15","7","2","1","0","2006"
"T519","w","3205","1","3","0","316","804","341","189","145","227","312","255","195","113","94","95","47","33","17","11","4","3","0","2006"
"F100","m","69171","1","4","4","1837","12519","6171","4354","3883","5798","8078","8408","6538","4314","2533","2428","1396","592","218","78","11","6","0","2007"
"F100","w","29390","0","0","1","1942","6866","2847","1594","1300","1918","2891","3080","2344","1535","1012","957","546","307","165","65","16","4","0","2007"
"F100","u","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2007"
"F101","m","3852","0","0","0","37","427","366","286","273","349","524","499","383","228","165","168","87","33","22","4","1","0","0","2007"
"F101","w","1884","0","0","0","58","219","148","129","110","159","256","236","174","128","75","77","52","24","25","12","2","0","0","2007"
"F102","m","104746","1","0","1","6","636","2312","4227","6747","13124","20514","21710","16281","9811","4617","3030","1244","369","100","14","2","0","0","2007"
"F102","w","35868","0","0","1","10","200","551","1070","1739","3756","6860","7696","5738","3617","2093","1519","717","224","57","16","4","0","0","2007"
"F103","m","38677","0","0","0","0","121","684","1386","2220","4653","7714","8290","6261","3547","1740","1306","531","172","45","6","1","0","0","2007"
"F103","w","10996","0","0","0","0","34","138","320","550","1175","2056","2318","1689","1087","684","561","253","101","22","7","1","0","0","2007"
"F104","m","10328","0","0","0","0","12","64","208","455","1010","1746","2114","1713","1167","683","657","312","131","47","7","2","0","0","2007"
"F104","w","2524","0","0","0","2","4","12","43","93","174","395","456","396","308","229","216","102","59","26","8","1","0","0","2007"
"F105","m","1491","0","0","0","3","59","59","74","72","162","264","252","207","108","74","89","42","20","5","0","1","0","0","2007"
"F105","w","490","0","0","0","6","18","23","21","18","45","68","86","62","48","29","29","20","9","6","2","0","0","0","2007"
"F106","m","2727","0","0","0","1","3","0","1","13","42","152","322","409","435","403","465","296","134","38","12","1","0","0","2007"
"F106","w","973","0","0","0","0","4","0","5","3","21","47","122","112","152","146","153","108","61","32","5","2","0","0","2007"
"F107","m","1548","0","0","0","0","1","10","8","14","77","164","223","264","246","157","178","118","60","23","4","1","0","0","2007"
"F107","w","462","0","0","0","0","1","3","0","4","17","32","54","74","78","51","57","46","31","11","2","0","1","0","2007"
"F108","m","487","0","0","0","2","29","33","25","35","34","87","65","47","32","29","31","21","13","3","1","0","0","0","2007"
"F108","w","154","0","0","0","2","10","12","7","9","14","15","19","18","15","9","11","8","4","0","1","0","0","0","2007"
"F109","m","251","0","0","0","2","12","12","7","11","34","43","46","26","23","11","9","6","6","3","0","0","0","0","2007"
"F109","w","99","0","0","0","1","10","2","5","3","8","18","11","13","8","8","5","4","1","0","2","0","0","0","2007"
"T510","m","1840","1","5","4","143","667","213","120","83","97","95","104","102","70","48","46","26","11","3","0","2","0","0","2007"
"T510","w","951","0","5","0","135","332","99","52","37","34","55","58","36","27","22","33","10","11","3","2","0","0","0","2007"
"T519","m","1466","1","1","0","115","468","144","96","74","95","129","97","71","66","31","42","21","6","6","2","0","1","0","2007"
"T519","w","935","0","2","0","128","322","93","32","34","49","64","75","44","33","19","14","10","6","9","1","0","0","0","2007"
"F100","m","76654","2","6","6","2136","13661","7023","4879","4444","5874","8638","9311","7675","5084","2845","2475","1598","651","252","77","11","6","0","2008"
"F100","w","32629","3","3","1","2376","7536","3331","1743","1459","2028","3113","3306","2604","1734","1059","1058","634","326","180","111","19","5","0","2008"
"F101","m","3756","0","0","0","39","439","396","269","272","315","439","468","367","245","164","158","111","43","20","7","3","1","0","2008"
"F101","w","1802","0","0","0","48","195","159","117","106","154","227","237","161","121","83","91","45","32","12","11","1","2","0","2008"
"F102","m","107906","0","0","0","13","721","2571","4687","6915","12485","20154","22841","17269","10627","4794","2950","1382","349","129","17","1","1","0","2008"
"F102","w","36287","1","0","0","12","207","626","1275","1944","3678","6813","7753","5769","3735","2020","1437","689","224","77","19","5","3","0","2008"
"F103","m","41506","0","0","0","0","137","744","1529","2453","4555","7861","8891","6801","4245","1991","1319","699","202","63","15","1","0","0","2008"
"F103","w","12411","0","0","0","1","45","178","383","618","1162","2274","2659","1811","1338","804","625","315","116","57","18","3","4","0","2008"
"F104","m","9906","0","0","0","0","8","79","204","434","871","1682","1999","1633","1136","674","620","367","132","50","11","6","0","0","2008"
"F104","w","2411","0","0","0","0","7","18","40","75","150","339","450","387","284","210","237","115","58","27","11","3","0","0","2008"
"F105","m","1360","1","0","0","4","49","64","59","71","116","224","258","199","110","66","70","43","19","4","2","1","0","0","2008"
"F105","w","473","0","0","0","3","19","15","11","33","45","74","70","60","57","27","27","16","9","2","5","0","0","0","2008"
"F106","m","2582","0","0","0","0","3","3","4","14","34","129","301","385","423","374","429","305","125","46","7","0","0","0","2008"
"F106","w","1014","0","0","0","0","0","1","0","4","17","58","99","123","164","169","183","106","53","28","6","2","1","0","2008"
"F107","m","1481","0","0","0","2","5","7","12","14","62","173","218","224","207","167","181","141","50","11","7","0","0","0","2008"
"F107","w","439","0","0","0","1","1","3","0","3","15","40","66","59","65","43","61","49","18","11","2","2","0","0","2008"
"F108","m","475","0","0","1","2","21","25","21","30","36","73","70","56","50","27","31","22","7","3","0","0","0","0","2008"
"F108","w","182","0","0","0","0","13","10","6","3","21","32","26","18","20","11","7","11","1","2","0","1","0","0","2008"
"F109","m","345","0","0","0","2","15","19","9","21","24","54","62","50","37","23","18","8","1","1","1","0","0","0","2008"
"F109","w","185","0","0","0","2","9","7","6","11","12","23","28","27","24","17","10","3","3","1","2","0","0","0","2008"
"T510","m","1521","0","5","2","97","435","169","91","85","83","105","132","99","73","49","44","31","11","7","2","1","0","0","2008"
"T510","w","759","2","4","0","115","240","73","28","23","32","52","58","52","15","22","14","11","14","3","1","0","0","0","2008"
"T519","m","1109","0","2","1","84","313","110","67","46","60","105","89","75","65","27","29","20","12","4","0","0","0","0","2008"
"T519","w","773","0","2","0","90","248","74","44","21","31","63","70","45","26","16","12","17","5","5","3","1","0","0","2008"
"F100","m","80455","5","5","7","2097","14392","7591","5191","4688","5747","8732","9754","8182","5623","2923","2650","1716","744","306","89","8","5","0","2009"
"F100","w","34065","1","4","2","2233","7706","3667","1968","1634","1942","3108","3491","2887","1883","1058","1078","750","338","207","94","10","4","0","2009"
"F101","m","4040","0","0","0","41","428","452","315","300","372","457","457","418","303","176","151","97","44","24","5","0","0","0","2009"
"F101","w","1772","0","0","0","50","195","171","126","99","145","227","232","169","124","78","50","48","31","22","4","1","0","0","2009"
"F102","m","106499","1","0","0","2","620","2593","4842","7202","11552","19091","22288","17383","11162","5022","2849","1394","376","102","19","0","1","0","2009"
"F102","w","36614","0","0","0","11","212","649","1372","1974","3397","6494","7964","5925","3780","2158","1565","781","235","73","22","0","2","0","2009"
"F103","m","42665","0","0","0","1","129","730","1630","2550","4312","7708","9200","7425","4553","2048","1402","726","189","52","10","0","0","0","2009"
"F103","w","12933","0","0","0","1","38","175","404","625","1174","2288","2855","2076","1378","783","634","364","103","24","10","1","0","0","2009"
"F104","m","9332","0","0","0","2","15","62","230","393","764","1476","1828","1657","1182","635","538","338","142","53","15","2","0","0","2009"
"F104","w","2263","0","0","0","0","5","14","44","92","131","302","448","324","283","213","165","154","48","28","9","3","0","0","2009"
"F105","m","1697","0","0","0","8","69","78","85","109","152","232","277","295","165","92","58","55","16","4","2","0","0","0","2009"
"F105","w","622","0","0","0","9","38","28","20","23","42","68","102","105","77","35","31","19","14","7","4","0","0","0","2009"
"F106","m","2489","0","0","0","0","2","4","3","6","21","97","247","386","424","363","454","297","132","46","7","0","0","0","2009"
"F106","w","934","0","0","0","0","1","0","2","2","11","36","100","121","142","159","151","122","59","18","9","1","0","0","2009"
"F107","m","1387","0","0","0","0","4","3","15","19","52","140","206","221","223","152","173","112","51","9","7","0","0","0","2009"
"F107","w","426","0","0","0","0","1","3","2","2","13","33","68","68","60","49","44","42","23","13","2","1","2","0","2009"
"F108","m","489","0","0","0","0","25","33","37","33","34","66","79","63","47","34","10","25","1","1","1","0","0","0","2009"
"F108","w","149","0","0","0","0","4","10","11","10","12","20","23","18","13","6","8","6","2","5","1","0","0","0","2009"
"F109","m","197","0","0","0","2","17","8","9","7","14","14","29","35","27","15","10","8","2","0","0","0","0","0","2009"
"F109","w","64","0","0","0","3","5","2","0","0","2","11","5","7","12","1","9","3","1","1","2","0","0","0","2009"
"T510","m","982","0","8","0","69","336","113","65","41","70","67","54","50","38","23","21","15","9","2","0","0","1","0","2009"
"T510","w","485","2","6","0","73","156","46","22","15","20","33","28","26","19","9","12","4","7","4","2","1","0","0","2009"
"T519","m","983","0","4","1","61","281","105","68","44","63","57","73","71","51","33","33","21","8","5","3","1","0","0","2009"
"T519","w","610","0","3","1","61","174","56","29","30","30","50","49","56","20","17","15","7","5","3","4","0","0","0","2009"
"F100","m","81175","4","7","8","1944","14219","8014","5234","4858","5459","8376","9931","8616","5853","3223","2354","1830","802","316","107","16","4","0","2010"
"F100","w","34261","0","2","0","2144","7688","3701","2125","1726","1833","2893","3542","2995","1919","1163","979","851","374","200","100","21","5","0","2010"
"F101","m","3792","0","0","0","35","472","421","332","264","283","395","462","382","263","178","106","127","50","15","7","0","0","0","2010"
"F101","w","1740","0","0","0","46","217","152","125","137","120","177","234","158","113","65","65","67","35","15","11","3","0","0","2010"
"F102","m","101541","0","0","0","6","534","2444","4847","7080","10117","17032","20977","17722","10937","5183","2674","1467","391","109","20","1","0","0","2010"
"F102","w","35610","0","0","0","15","196","651","1335","1964","3204","6046","7844","6142","3631","2141","1292","821","233","70","21","4","0","0","2010"
"F103","m","44098","0","0","0","0","109","748","1752","2618","4086","7519","9520","7828","5000","2424","1361","821","234","64","14","0","0","0","2010"
"F103","w","13254","0","0","0","0","31","145","451","749","1110","2151","2726","2292","1524","836","675","402","119","37","4","2","0","0","2010"
"F104","m","8125","0","0","0","0","8","48","176","403","620","1184","1555","1506","1059","572","466","335","125","57","10","0","1","0","2010"
"F104","w","2068","0","0","0","1","2","10","49","59","112","246","352","367","273","198","176","127","57","28","6","4","1","0","2010"
"F105","m","1203","0","0","0","2","28","65","55","83","99","164","210","200","106","68","55","43","13","12","0","0","0","0","2010"
"F105","w","382","0","0","0","3","21","14","18","17","19","34","71","69","43","24","23","16","8","1","1","0","0","0","2010"
"F106","m","2519","0","0","0","0","1","1","3","14","20","105","249","428","445","341","380","309","161","54","7","1","0","0","2010"
"F106","w","855","0","0","0","0","0","0","1","2","11","37","107","123","166","111","113","111","56","15","2","0","0","0","2010"
"F107","m","1373","0","0","0","0","3","7","20","18","35","116","208","293","190","132","131","136","59","21","3","1","0","0","2010"
"F107","w","458","0","0","0","1","1","2","4","6","15","29","78","53","65","48","56","65","19","10","4","2","0","0","2010"
"F108","m","473","0","0","0","3","33","37","30","26","36","79","55","67","36","24","13","24","9","1","0","0","0","0","2010"
"F108","w","163","0","0","0","1","3","11","7","12","9","22","43","19","9","6","5","10","6","0","0","0","0","0","2010"
"F109","m","195","0","0","0","3","12","4","7","12","8","30","34","42","24","8","5","5","1","0","0","0","0","0","2010"
"F109","w","72","0","0","0","3","4","3","3","3","2","7","8","8","13","8","7","2","1","0","0","0","0","0","2010"
"T510","m","1113","0","4","1","72","345","109","66","64","54","88","85","77","50","26","28","26","12","5","1","0","0","0","2010"
"T510","w","652","0","3","0","88","216","75","39","22","24","23","50","34","26","13","13","13","6","5","2","0","0","0","2010"
"T519","m","645","1","2","1","39","168","63","42","44","50","60","54","34","36","20","14","6","6","3","2","0","0","0","2010"
"T519","w","464","0","0","0","49","115","49","32","22","31","33","46","31","27","10","8","5","3","2","1","0","0","0","2010"
"F100","m","81775","1","0","3","2020","14233","8314","5433","5044","5318","7894","9540","8831","6097","3636","2157","1951","887","298","90","21","7","0","2011"
"F100","w","34742","1","0","0","2156","7942","3851","2186","1770","1831","2818","3486","2974","1896","1246","962","911","407","203","83","14","5","0","2011"
"F101","m","3784","0","1","0","51","449","460","309","323","244","370","420","386","288","177","106","122","48","23","6","1","0","0","2011"
"F101","w","1850","0","1","1","61","249","166","126","115","146","187","229","190","134","75","64","59","21","16","6","4","0","0","2011"
"F102","m","102263","0","0","0","5","502","2335","4904","7471","9657","16190","20622","18695","11598","5680","2454","1538","470","122","18","2","0","0","2011"
"F102","w","37353","0","0","0","9","170","687","1439","2206","3127","5843","7970","6620","4133","2343","1446","948","311","86","12","2","1","0","2011"
"F103","m","45323","0","0","0","0","95","754","1893","2928","4027","7033","9394","8256","5575","2808","1308","902","249","84","16","1","0","0","2011"
"F103","w","14276","0","0","0","1","32","206","534","793","1111","2198","2978","2552","1658","935","601","463","156","45","12","1","0","0","2011"
"F104","m","7685","0","0","0","0","4","49","167","370","584","953","1494","1473","1006","621","400","322","165","54","18","5","0","0","2011"
"F104","w","1988","0","0","0","1","3","12","49","59","101","202","372","312","283","204","182","118","51","23","16","0","0","0","2011"
"F105","m","1074","0","0","0","1","43","57","71","63","81","133","171","171","125","70","30","35","11","9","3","0","0","0","2011"
"F105","w","380","0","0","0","2","16","20","19","19","28","48","52","60","49","22","21","16","6","1","1","0","0","0","2011"
"F106","m","2458","0","0","0","0","1","1","3","5","26","70","250","402","458","425","305","315","139","49","9","0","0","0","2011"
"F106","w","908","0","0","0","0","0","0","1","3","11","34","93","135","136","122","136","153","58","18","6","1","1","0","2011"
"F107","m","1285","0","0","0","1","6","6","15","33","31","96","174","235","213","167","122","111","55","11","9","0","0","0","2011"
"F107","w","374","0","0","0","0","3","2","2","2","12","31","44","75","47","44","48","34","18","9","3","0","0","0","2011"
"F108","m","470","0","0","0","6","20","37","35","25","31","64","58","54","43","42","21","23","8","2","0","1","0","0","2011"
"F108","w","166","0","0","0","1","11","6","10","11","17","19","28","12","11","15","12","4","9","0","0","0","0","0","2011"
"F109","m","254","0","1","0","1","9","7","8","12","20","43","49","37","28","23","11","4","0","1","0","0","0","0","2011"
"F109","w","63","0","0","0","0","5","2","2","7","3","9","11","4","6","8","4","2","0","0","0","0","0","0","2011"
"T510","m","996","1","4","1","57","269","105","67","65","51","67","94","89","46","33","18","16","8","2","2","1","0","0","2011"
"T510","w","501","0","8","0","52","130","50","37","26","22","27","47","26","22","16","16","12","3","3","2","0","2","0","2011"
"T519","m","716","0","2","0","34","173","66","65","40","41","68","78","50","31","24","15","17","8","3","0","1","0","0","2011"
"T519","w","485","0","1","0","33","102","58","21","14","24","49","49","52","33","14","8","17","4","2","4","0","0","0","2011"
"F100","m","84972","15","12","7","1821","14382","8527","5784","5643","5377","7911","9625","9425","6700","4214","2203","1906","950","337","106","21","6","0","2012"
"F100","w","36622","9","9","4","2178","8292","4185","2347","1906","1822","2803","3669","3246","2133","1504","912","828","453","205","85","28","4","0","2012"
"F100","u","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2012"
"F101","m","3733","1","0","0","38","451","453","312","316","272","369","391","347","301","184","120","99","51","19","7","1","1","0","2012"
"F101","w","1775","0","2","0","37","202","164","125","138","129","176","210","201","128","79","55","62","40","17","8","2","0","0","2012"
"F102","m","104279","3","0","0","6","466","2091","5081","8106","9773","15531","20450","19061","12716","6299","2522","1528","505","115","23","1","2","0","2012"
"F102","w","38702","0","0","0","9","175","643","1425","2462","3165","5752","8096","7236","4484","2569","1313","954","330","71","15","3","0","0","2012"
"F103","m","44391","0","0","0","0","104","664","1917","3168","3872","6466","8918","8378","5656","2856","1179","825","300","73","13","2","0","0","2012"
"F103","w","14081","0","0","0","1","39","178","472","851","1095","2037","2888","2679","1630","952","614","439","148","48","9","1","0","0","2012"
"F104","m","7041","0","0","0","2","10","33","150","339","480","802","1276","1307","1033","652","369","343","161","62","18","4","0","0","2012"
"F104","w","1770","0","0","0","1","8","9","27","59","71","186","282","311","228","201","167","126","55","26","10","3","0","0","2012"
"F105","m","1020","0","0","0","2","30","44","51","83","70","122","205","161","111","69","32","25","9","5","1","0","0","0","2012"
"F105","w","357","0","0","0","3","13","11","16","14","17","33","66","65","39","25","31","13","6","4","1","0","0","0","2012"
"F106","m","2730","0","0","0","1","0","0","4","8","29","77","240","466","500","502","347","327","157","58","14","0","0","0","2012"
"F106","w","960","0","0","0","0","0","1","1","2","9","31","89","145","146","151","140","151","56","28","9","1","0","0","2012"
"F107","m","1224","0","0","0","0","3","6","13","19","28","101","166","213","211","158","114","111","58","19","2","2","0","0","2012"
"F107","w","389","0","0","0","0","2","2","1","4","13","45","45","68","52","53","49","26","25","2","2","0","0","0","2012"
"F108","m","473","0","0","0","0","18","31","45","45","42","59","50","64","41","32","20","16","5","1","4","0","0","0","2012"
"F108","w","181","0","0","0","2","10","24","14","15","18","17","31","21","11","7","5","5","0","1","0","0","0","0","2012"
"F109","m","249","0","0","0","1","5","7","6","22","16","34","43","43","45","19","2","3","1","2","0","0","0","0","2012"
"F109","w","84","0","0","0","2","5","2","2","4","4","8","12","14","6","15","8","1","0","0","1","0","0","0","2012"
"T510","m","613","1","6","3","26","168","79","57","43","33","36","33","35","32","23","15","7","8","4","3","1","0","0","2012"
"T510","w","343","0","7","0","40","84","30","31","16","11","29","31","24","12","13","5","3","2","5","0","0","0","0","2012"
"T519","m","500","1","2","1","24","127","50","36","24","21","39","60","45","25","13","9","15","5","1","2","0","0","0","2012"
"T519","w","384","0","5","0","30","79","24","26","17","32","38","40","42","24","8","7","9","2","1","0","0","0","0","2012"
"F100","m","81071","2","4","0","1362","12231","7612","5867","5429","5588","7370","9420","9655","6811","4262","2121","1747","1062","389","107","32","0","0","2013"
"F100","w","35432","1","1","0","1863","7811","3905","2351","1965","1815","2604","3619","3200","2144","1444","886","903","587","214","87","30","2","0","2013"
"F101","m","3490","0","0","1","25","303","362","290","293","278","369","430","411","264","188","95","81","62","24","14","0","0","0","2013"
"F101","w","1644","0","0","0","33","180","157","153","121","111","154","195","177","131","83","54","42","32","14","4","3","0","0","2013"
"F102","m","105149","0","0","0","5","418","2040","5053","8293","9968","14420","20023","19639","13246","7066","2718","1533","578","125","22","1","1","0","2013"
"F102","w","38126","0","0","0","4","143","607","1434","2466","3145","5216","7805","7185","4711","2784","1298","887","344","81","14","2","0","0","2013"
"F103","m","43746","0","0","2","3","113","649","1719","3130","3942","5966","8549","8340","5708","3192","1249","766","330","74","11","3","0","0","2013"
"F103","w","13933","0","1","1","0","27","178","529","874","1051","1909","2753","2698","1715","1020","601","393","145","30","7","1","0","0","2013"
"F104","m","6892","0","0","0","0","9","42","119","333","478","841","1135","1318","1047","695","380","276","156","57","5","1","0","0","2013"
"F104","w","1640","0","0","0","2","3","9","35","68","99","148","243","262","227","170","121","146","71","28","6","2","0","0","2013"
"F105","m","983","0","0","0","1","28","40","55","91","86","106","173","150","107","65","33","33","10","5","0","0","0","0","2013"
"F105","w","326","0","0","0","2","10","13","10","16","31","21","45","55","36","31","22","14","16","3","1","0","0","0","2013"
"F106","m","2375","0","0","0","0","2","1","0","11","16","51","181","353","469","473","298","293","171","40","15","1","0","0","2013"
"F106","w","837","0","0","0","0","1","1","0","4","7","26","83","108","129","132","138","129","55","19","3","2","0","0","2013"
"F107","m","1141","0","0","0","0","5","9","12","31","34","78","147","222","214","145","85","89","57","8","5","0","0","0","2013"
"F107","w","366","0","0","0","0","2","2","3","2","9","38","40","40","59","57","35","35","31","10","3","0","0","0","2013"
"F108","m","569","0","0","0","1","22","45","60","47","42","64","97","84","49","29","11","10","2","4","2","0","0","0","2013"
"F108","w","209","0","0","0","1","3","22","15","17","22","20","27","32","15","15","15","3","1","0","0","1","0","0","2013"
"F109","m","215","0","0","0","2","11","0","5","3","11","35","35","50","33","25","3","2","0","0","0","0","0","0","2013"
"F109","w","60","0","0","0","0","2","0","0","6","1","4","11","6","11","10","3","3","1","1","1","0","0","0","2013"
"T510","m","536","1","3","0","26","148","46","37","37","28","29","51","39","42","17","10","11","4","4","3","0","0","0","2013"
"T510","w","264","0","2","1","29","67","19","21","17","12","11","19","22","15","6","8","9","4","1","1","0","0","0","2013"
"T519","m","422","0","2","1","22","108","37","37","25","24","35","35","29","29","16","10","6","6","0","0","0","0","0","2013"
"T519","w","297","1","1","0","28","99","25","18","14","13","11","29","25","14","7","2","6","3","0","1","0","0","0","2013"
